Year,Plot,Treatment,Subtreatment,ACAM,ACAM_d,AG,AG_d,AMSIN,AMSIN_d,AVEN,BRDI,BRDI_d,BRHO,BRHO_d,BRMA,BRNI,BRNI_d,BROMUS,CACO,CAEX,CAME,CEGL,CESO,CLPU,COAR,CRSE,CRSE_d,DELO,DELO_d,ELTR,ERBO,ERCI,ERCI_d,ERMO,ESCA,EUCH,FEBR,FEMY,FEMY_d,GR,HIIN,HIIN_d,HL,HOMU,HOMU_d,LAAM,LAGR,LUBI,MEPO,BG,PEGRAS,PLCA,RUCR,STME,TRGR,TRIFO,VEPE
2021,5,U,UC,0,0,1,0,0,0,0,1,1,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,60,21,23,0,0,0,0,0,0,0,0,0,0,0,0
2021,5,U,UM,0,0,3,0,0,0,0,0,0,17,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,1,60,0,0,0,0,0,0,27,0,0,0,0,0,0,0
2021,5,U,UMS,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,6,6,60,28,11,0,0,0,0,2,2,0,0,0,0,0,0
2021,5,U,US,0,0,0,0,0,0,0,0,2,33,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,57,7,36,0,0,0,0,0,1,0,0,0,0,0,1
2021,6,G,GC,0,0,0,0,0,0,0,10,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,57,1,0,0,0,0,0,9,0,2,0,0,0,0,0
2021,6,G,GS,1,0,0,0,0,0,0,13,2,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,9,35,0,0,0,0,0,0,16,0,0,0,0,0,0,0
2021,6,S,SC,0,0,1,0,0,0,0,5,1,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,2,50,1,1,0,0,0,0,15,0,2,0,0,0,0,0
2021,6,S,SS,0,0,0,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,18,0,2,0,0,0,0,0
2021,6,U,UC,0,0,2,0,0,0,0,1,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,1,0,0,0,0,52,0,0,0,0,0,0,22,0,0,0,0,0,0,0
2021,6,U,UM,0,0,1,0,0,0,0,3,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,55,1,0,0,0,0,0,17,0,0,0,0,0,0,0
